,year,ranking,gross_Mil,name,avg_tick_price,avg_tick,total_tick,avg_gross,cities,shows,agency,genre
86,2020,87,2.26,Mike Epps,81.53,3966,27765,323374,6.0,7.0,Creative Artists Agency,Unknown
87,2020,88,2.23,Soda Stereo,42.13,26514,53028,1117151,2.0,2.0,Sony Music,Unknown
88,2020,89,2.22,Il Volo,82.66,3353,26827,277199,8.0,8.0,Creative Artists Agency,World/Reggae
89,2020,89,2.22,Il Volo,82.66,3353,26827,277199,8.0,8.0,Creative Artists Agency,Unknown
90,2020,90,2.17,Casting Crowns,42.97,7198,50386,309291,7.0,7.0,Jeff Roberts & Associates,Christian & Gospel
91,2020,91,2.15,Nate Bargatze,49.83,1169,43241,58231,32.0,37.0,United Talent Agency,Unknown
92,2020,92,2.14,Eric Church,82.5,12958,25915,1069003,1.0,2.0,WME,Country
93,2020,93,2.08,Ana Gabriel,93.7,5558,22232,520769,4.0,4.0,Cardenas Marketing Network,Latin
94,2020,94,2.03,For King & Country,40.6,1852,50017,75215,27.0,27.0,Jeff Roberts & Associates,Unknown
95,2020,95,1.99,Tony Bennett,98.94,1825,20074,180561,11.0,11.0,Creative Artists Agency,Standards
96,2020,96,1.98,The Strokes,126.7,15619,15619,1978866,1.0,1.0,Artist Group International,Rock
97,2020,97,1.96,Eros Ramazzotti,73.61,4449,26694,327484,6.0,6.0,Paramount Entertainment,Italian
98,2020,98,1.95,Maluma,61.62,5279,31672,325262,5.0,6.0,C2C / WK Entertainment,Rock
99,2020,99,1.92,SuperM,66.34,9670,29009,641528,3.0,3.0,MN2S,Unknown
100,2020,100,1.88,Anuel AA,76.18,8237,24712,627511,3.0,3.0,MN2S,Unknown
101,2020,101,1.88,Billy Strings,27.08,1654,69452,44783,29.0,42.0,Crossover Touring,Unknown
102,2020,102,1.86,Excision,52.3,8888,35552,464871,3.0,4.0,United Talent Agency,Unknown
103,2020,103,1.85,Michael W. Smith / Amy Grant,50.15,5257,36798,263655,7.0,7.0,Creative Artists Agency,Unknown
104,2020,104,1.78,Los Angeles Azules,59.44,4992,29951,296730,5.0,6.0,M&M Group,Unknown
105,2020,105,1.77,Zeds Dead,62.06,2864,28636,177720,7.0,10.0,Paradigm Talent Agency,Unknown
106,2020,106,1.76,Gwen Stefani,113.06,3874,15495,437970,2.0,4.0,WME,Pop
107,2020,107,1.71,The Avett Brothers,63.62,5376,26882,342073,4.0,5.0,New Frontier Touring,Rock
108,2020,108,1.6,Cody Johnson,39.72,5763,40341,228929,7.0,7.0,Red 11 Music,Unknown
109,2020,109,1.57,Dan + Shay,61.35,12779,25558,784021,1.0,2.0,Creative Artists Agency,Country
110,2020,110,1.56,The Offspring / Sum 41,59.72,3731,26119,222814,7.0,7.0,X-ray Touring / Sound Talent Group,Unknown
111,2020,111,1.51,Lindsey Stirling,72.08,2333,20999,168176,9.0,9.0,WME,Unknown
112,2020,112,1.48,Brandi Carlile,60.89,2696,24265,164166,4.0,9.0,Paradigm Talent Agency,Singer/Songwriter
113,2020,113,1.48,Fantasia,75.77,3249,19491,246135,6.0,6.0,ICM Partners,R&B/Soul
114,2020,114,1.48,Jeezy,93.12,7926,15851,738052,2.0,2.0,United Talent Agency,Unknown
115,2020,115,1.47,Hombres G,29.41,8348,50087,245532,6.0,6.0,Warner Music Latina,Unknown
116,2020,116,1.46,Rodney Carrington,49.08,1650,29706,80998,16.0,18.0,APA,Comedy
117,2020,117,1.45,Stray Kids,136.03,3559,10676,484090,3.0,3.0,MN2S,Unknown
118,2020,118,1.44,Nick Cannon Presents “Wild ‘N Out Live”,61.5,11719,23437,720717,2.0,2.0,Creative Artists Agency,Unknown
119,2020,119,1.44,“Comedy Laugh Fest” / D.L. Hughley,69.49,6905,20714,479792,3.0,3.0,United Talent Agency,Unknown
120,2020,120,1.43,Alan Jackson,69.5,10315,20629,716829,2.0,2.0,WME,Country
121,2020,121,1.43,Cody Jinks,51.54,2775,27754,143035,9.0,10.0,True Grit Talent Agency,Unknown
122,2020,122,1.36,Pitbull,65.05,6991,20973,454737,3.0,3.0,United Talent Agency,Pop/Rock
123,2020,123,1.36,Tommy Torres,58.14,11710,23419,680810,1.0,2.0,Angelo Medina Group,Unknown
124,2020,124,1.35,Chris Tomlin,57.05,1973,23677,112556,12.0,12.0,Creative Artists Agency,Praise & Worship
125,2020,125,1.35,Motion City Soundtrack,34.54,1562,39043,53944,23.0,25.0,WME,Rock
126,2020,126,1.34,Los Temerarios,79.9,5606,16818,447914,3.0,3.0,Fonovisa Records,World/International
127,2020,127,1.34,John Fogerty,105.73,2538,12692,268393,5.0,5.0,Creative Artists Agency,Rock & Roll
128,2020,128,1.32,Koe Wetzel,24.15,1825,54736,44071,30.0,30.0,Red 11 Music,Unknown
129,2020,129,1.31,Emmanuel & Mijares,62.92,6956,20868,437645,3.0,3.0,,Unknown
130,2020,130,1.31,Gloria Trevi,49.52,8797,26392,435616,3.0,3.0,The Sixth House,World/International
131,2020,131,1.3,Wilco,69.32,2686,18800,186181,4.0,7.0,High Road Touring,Rock
132,2020,132,1.28,Josh Groban,127.37,3348,10043,426399,3.0,3.0,WME,Modern Composition
133,2020,133,1.27,Angela Aguilar,43.19,386,29386,141026,9.0,9.0,M&M Group,Unknown
134,2020,134,1.27,Kane Brown,54.91,11521,23041,632574,2.0,2.0,WME,Unknown
135,2020,135,1.24,Aaron Kwok,183.94,6752,6752,1241986,1.0,1.0,Music Nation Group,Unknown
136,2020,136,1.21,Get The Led Out,37.11,1211,32696,44934,21.0,27.0,SRO Artists,Unknown
137,2020,137,1.2,Intocable,31.79,6308,37846,200522,5.0,6.0,Endzone Management,Tejano/TexMex
138,2020,138,1.18,Jonathan Lee,140.62,4208,8416,591709,1.0,2.0,B’in Music,Unknown
139,2020,139,1.18,Los Tigres Del Norte,39.89,9838,29515,392426,2.0,3.0,AKA Productions,Unknown
140,2020,140,1.16,Daryl Hall & John Oates,89.43,12998,12998,1162405,1.0,1.0,Artist Group International,Unknown
141,2020,141,1.15,Grace Potter,44.66,1229,25801,54872,19.0,21.0,Partisan Arts,Unknown
142,2020,142,1.15,The Marcus King Band,28.55,1087,40201,31017,36.0,37.0,WME,Unknown
143,2020,143,1.13,Caifanes,44.81,6295,25180,282075,4.0,4.0,WME,Unknown
144,2020,144,1.12,CoCo Lee,210.23,5342,5342,1123036,1.0,1.0,Universal Music Group,Unknown
145,2020,145,1.11,City and Colour,51.46,5411,21642,278401,4.0,4.0,Paradigm Talent Agency,Singer/Songwriter
146,2020,146,1.11,Alexisonfire,51.05,4347,21735,221894,5.0,5.0,Paradigm Talent Agency,Rock
147,2020,147,1.08,Gladys Knight,71.22,1684,15152,119898,9.0,9.0,Creative Artists Agency,R&B/Soul
148,2020,148,1.08,Steve Martin / Martin Short,132.14,2713,8140,358545,2.0,3.0,WME,Unknown
149,2020,149,1.07,Lauren Daigle,58.64,9141,18282,536004,3.0,2.0,WME,Unknown
150,2020,150,1.05,Armin Van Buuren,58.93,4433,17733,261252,3.0,4.0,David Lewis Productions,Unknown
151,2020,151,1.02,The Beach Boys,77.32,1882,13173,145498,6.0,7.0,WME,Rock
152,2020,152,1.0,Old Dominion,51.82,4840,19358,250764,4.0,4.0,Paradigm Talent Agency,Country
153,2020,153,0.98,Sturgill Simpson,75.76,12896,12896,977018,1.0,1.0,Paradigm Talent Agency,Country
154,2020,154,0.98,Criss Angel,70.74,1726,13808,122089,8.0,8.0,APA,Unknown
155,2020,155,0.97,Motionless In White / Beartooth,27.98,1653,34705,46241,21.0,21.0,Sound Talent Group,Unknown
156,2020,156,0.95,Brett Eldredge,60.41,3150,15752,190314,3.0,5.0,Creative Artists Agency,Country
157,2020,157,0.94,Brockhampton,58.94,3994,15974,235381,3.0,4.0,WME,Unknown
158,2020,158,0.94,Patti LaBelle,92.51,2542,10168,235170,4.0,4.0,WME,Soul
159,2020,159,0.93,Aaron Lewis,51.35,1294,18114,66445,12.0,14.0,Creative Artists Agency,Contemporary Country
160,2020,160,0.93,Tiffany Haddish,83.91,2212,11058,185572,5.0,5.0,United Talent Agency,Unknown
161,2020,161,0.93,Raphael,54.65,4239,16955,231640,4.0,4.0,JEP Entertainment Group,Unknown
162,2020,162,0.91,The Allman Betts Band,49.49,972,18469,48109,18.0,19.0,Northstar Artists,Unknown
163,2020,163,0.9,Galantis,53.7,4196,16782,225307,3.0,4.0,WME,Electronic
164,2020,164,0.89,Frankie Valli And The Four Seasons,81.28,2180,10901,177199,3.0,5.0,APA,Unknown
165,2020,165,0.88,Greensky Bluegrass,36.21,2431,24310,88038,8.0,10.0,Partisan Arts,Unknown
166,2020,166,0.87,Ledisi,87.88,1659,9951,145747,6.0,6.0,Paradigm Talent Agency,Unknown
167,2020,167,0.87,A Day To Remember,45.22,2744,19210,124108,4.0,7.0,United Talent Agency,Unknown
168,2020,168,0.86,“DaveKoz&Friends:ASmoothJazzChristmas”,75.88,1620,11340,122923,6.0,7.0,APA,Unknown
169,2020,169,0.86,Almost Queen - Trib. To Queen,36.69,1172,23448,43016,20.0,20.0,Creative Entertainment Group,Unknown
170,2020,170,0.81,Joe Bonamassa,147.73,1821,5464,269067,2.0,3.0,J & R Adventures,Blues-Rock
171,2020,171,0.81,Misfits,97.92,8226,8226,805488,1.0,1.0,Artists Worldwide,Unknown
172,2020,172,0.8,John Prine,126.64,3169,6337,401251,2.0,2.0,Oh Boy Records,Pop
173,2020,173,0.8,Air Supply,67.04,1698,11884,113819,7.0,7.0,APA,Pop
174,2020,174,0.8,Pesado,27.66,14389,28777,397950,1.0,2.0,Warner Music Latina,Unknown
175,2020,175,0.79,Marco Antonio Solis,66.07,12006,12006,793250,1.0,1.0,Habari Inc.,Unknown
176,2020,176,0.79,Yanni,30.95,8528,25584,263982,3.0,3.0,WME,Pop
177,2020,177,0.77,Diana Ross,113.73,2248,6744,255660,3.0,3.0,Creative Artists Agency,R&B/Soul
178,2020,178,0.76,Foreigner,74.44,2558,10231,190395,2.0,4.0,Paradigm Talent Agency,Rock
179,2020,179,0.74,André Rieu,105.11,7021,7021,738010,1.0,1.0,André Rieu Productions,Unknown
180,2020,180,0.74,Highly Suspect,35.6,1884,20728,67085,11.0,11.0,New Frontier Touring,Rock & Roll
181,2020,181,0.73,Pepe Aguilar,35.65,10243,20486,365137,2.0,2.0,M&M Group,Regional Mexicano
182,2020,182,0.73,Robert Earl Keen,44.45,1169,16360,51947,12.0,14.0,Paradigm Talent Agency,Blues/Folk
183,2020,183,0.73,David Sedaris,54.49,1663,13306,90633,8.0,8.0,The Steven Barclay Agency,Unknown
184,2020,184,0.72,Kenny G,61.79,1458,11661,90072,8.0,8.0,WME,Jazz
185,2020,185,0.71,Dark Star Orchestra,41.73,1222,17105,50982,11.0,14.0,Partisan Arts,Unknown
186,2020,186,0.71,Cold War Kids,28.6,1380,24832,39449,16.0,18.0,Paradigm Talent Agency,Alternative
187,2020,187,0.7,Kansas,69.83,2005,10026,140017,5.0,5.0,APA,Alternative
188,2020,188,0.7,Greta Van Fleet,48.26,7232,14464,349049,2.0,2.0,WME,Unknown
189,2020,189,0.7,El Gran Combo,117.83,5916,5916,697110,1.0,1.0,The Roots Agency,Unknown
190,2020,190,0.69,John Cleese,73.12,1891,9456,138279,5.0,5.0,Creative Artists Agency,Unknown
191,2020,191,0.69,Scott Bradlee’s Postmodern Jukebox,56.4,1111,12222,62663,11.0,11.0,ICM Partners,Unknown
192,2020,192,0.69,Saint Motel,26.21,1246,26174,32668,21.0,21.0,Paradigm Talent Agency,Indie Rock
193,2020,193,0.68,Travis Tritt,55.95,1739,12172,97281,7.0,7.0,APA,Country
194,2020,194,0.68,Sara Bareilles,58.17,3881,11642,225730,3.0,3.0,Paradigm Talent Agency,Singer/Songwriter
195,2020,195,0.67,Carlos Rivera,18.89,17626,35252,332869,2.0,2.0,Universal Aguirre,Unknown
196,2020,196,0.66,Michael Feinstein,78.63,1203,8420,94583,7.0,7.0,ICM Partners,Unknown
197,2020,197,0.66,The Ghost,54.3,12074,12074,655663,1.0,1.0,,Unknown
198,2020,198,0.66,Lil Tjay,32.43,1256,20093,40729,15.0,16.0,APA,Unknown
199,2020,199,0.63,Ska-P,27.02,11716,23432,316619,2.0,2.0,Jesus Rafael Cortes Martinez,Unknown
200,2020,200,0.63,Serrat y Sabina,84.26,7491,7491,631201,1.0,1.0,Sony Music,Unknown
201,2019,1,177.8,The Rolling Stones,226.61,49041,784652,11112923,14.0,16.0,Concerts West,Rock
202,2019,2,157.4,Elton John,136.25,14266,1155510,1943702,57.0,81.0,The Howard Rose Agency,Pop/Rock
203,2019,3,97.0,Bob Seger & The Silver Bullet Band,111.72,12224,867925,1365694,71.0,71.0,ICM Partners,Unknown
204,2019,4,87.8,Pink,140.76,14867,624419,2092626,37.0,42.0,Marshall Arts,Unknown
205,2019,5,82.6,Ariana Grande,117.96,13727,700053,1619209,46.0,51.0,Creative Artists Agency,Pop
206,2019,6,81.7,Jonas Brothers,106.14,14246,769310,1512119,48.0,54.0,United Talent Agency,Pop/Rock
207,2019,7,81.6,KISS,101.94,11945,800302,1217650,67.0,67.0,Creative Artists Agency,Unknown
208,2019,8,77.5,Fleetwood Mac,142.42,13607,544286,1937462,10.0,13.0,Creative Artists Agency,Rock
209,2019,9,76.1,Garth Brooks,88.09,65846,856000,5853250,9.0,12.0,WME,Unknown
210,2019,10,75.6,Justin Timberlake,133.06,14959,568449,1990486,35.0,38.0,WME,Pop
211,2019,11,70.4,Billy Joel,130.07,25770,541166,3351790,21.0,21.0,WME ,Rock
212,2019,12,68.6,Dead & Company,126.36,19400,543213,2451472,18.0,28.0,Artist Group International,Unknown
213,2019,13,68.6,Eric Church,91.32,14442,750961,1318744,29.0,52.0,WME,Country
214,2019,14,66.7,Michael Bublé,118.58,11711,562115,1388689,46.0,48.0,Beaver Productions,Easy Listening
215,2019,15,65.7,Trans-Siberian Orchestra,64.23,9834,1022740,631675,64.0,104.0,WME,Rock
216,2019,16,63.0,Backstreet Boys,96.67,9871,651515,954244,51.0,66.0,WME,Pop
217,2019,17,60.3,Post Malone,119.85,13598,503135,1629712,31.0,37.0,United Talent Agency,Unknown
218,2019,18,59.6,Paul McCartney,158.44,23517,376264,3725863,15.0,16.0,Marshall Arts,Rock & Roll
219,2019,19,58.7,Celine Dion,167.99,7762,349295,1303991,15.0,45.0,CDA Productions,Unknown
220,2019,20,57.6,Cher,119.16,9867,483498,1175803,39.0,49.0,Marshall Arts,Pop
221,2019,21,53.5,Travis Scofi,76.13,14634,702448,1114117,46.0,48.0,CLG - Cara Lewis Group,Unknown
222,2019,22,534.0,Jennifer Lopez,137.05,12994,389831,1780820,24.0,30.0,Creative Artists Agency,Pop
223,2019,23,52.7,New Kids 0n The Block,80.76,11889,655643,960176,53.0,55.0,Creative Artists Agency,Unknown
224,2019,24,51.9,Florida Georgia Line,70.54,16008,736377,1129244,42.0,46.0,WME,Contemporary Country
225,2019,25,48.7,Shawn Mendes,72.3,13217,674072,955623,43.0,51.0,Paradigm Talent Agency,Rock
226,2019,26,48.4,Lady Gaga,288.07,5415,167869,1559938,11.0,31.0,Creative Artists Agency,Pop
227,2019,27,47.0,Dave Mafihews Band,76.46,12825,615614,980589,40.0,48.0,Paradigm Talent Agency,Unknown
228,2019,28,46.2,Muitiford & Sons,72.11,13923,640453,1003973,42.0,46.0,WME,Unknown
229,2019,29,45.8,Metallica,121.46,16418,377619,1994134,22.0,23.0,Artist Group International,Metal
230,2019,30,45.4,Queen + Adam Lambert,122.69,14817,370431,1817922,23.0,25.0,Creative Artists Agency,Unknown
231,2019,31,44.3,Thoitias Rhett,66.58,13571,664970,903574,48.0,49.0,WME,Unknown
232,2019,32,44.2,Carrie Underwood,76.59,11773,576857,901706,49.0,49.0,Creative Artists Agency,Country
233,2019,33,44.0,BTS,146.62,49962,299770,7325620,3.0,6.0,Big Hit Entertainment,Unknown
234,2019,34,43.0,Zac Brown Band,60.91,15015,705721,914542,40.0,47.0,WME,Country
235,2019,35,42.2,Hootie & The Blowfish,64.43,14200,653201,914878,44.0,46.0,Creative Artists Agency,Unknown
236,2019,36,42.1,John Mayer,110.71,12663,379881,1401871,26.0,30.0,,Rock
237,2019,37,37.9,Andrea Bocelli,181.81,13043,208690,2371330,14.0,16.0,Klassics Music Management Limited,World/International
238,2019,38,37.2,Luke Bryan,57.93,16902,642284,979171,36.0,38.0,WME,Contemporary Country
239,2019,39,36.9,Bad Bunny,90.42,11662,408160,1054459,33.0,35.0,Paradigm Talent Agency,Unknown
240,2019,40,36.9,Iron Maiden,72.45,13404,509368,971093,34.0,38.0,Creative Artists Agency,Metal
241,2019,41,36.0,Hugh Jackman,94.58,11201,380825,1059362,30.0,34.0,WME,Unknown
242,2019,42,34.7,Phish,69.81,17742,496788,1238588,13.0,28.0,Paradigm Talent Agency,Unknown
243,2019,43,34.1,Aerosmith,207.93,4828,164150,1003853,12.0,34.0,Creative Artists Agency,Rock
244,2019,44,33.6,George Strait,158.35,26533,212266,4201410,5.0,8.0,The Erv Woolsey Agency,Country
245,2019,45,30.8,Chris Stapleton,73.81,12655,417618,934129,33.0,33.0,WME,Country
246,2019,46,29.5,Khalid,66.3,12729,445514,843986,32.0,35.0,CLG - Cara Lewis Group,Unknown
247,2019,47,28.4,Tool,101.02,13372,280822,1350881,19.0,21.0,WME,Rock
248,2019,48,27.7,Chayanne,89.92,6298,308622,566323,41.0,49.0,Chaf Enterprises,World/International
249,2019,49,26.7,JoJo Siwa,55.28,6033,482600,333494,80.0,80.0,Paradigm Talent Agency,Unknown
250,2019,50,25.6,Marc Anthony,105.73,10075,241795,1065214,23.0,24.0,Cardenas Marketing Nework,World/International
251,2019,51,25.5,B2K,89.64,6623,284803,593729,42.0,43.0,Omarion Worldwide,Hip-Hop/Rap
252,2019,52,25.1,Luke Combs,39.4,10107,636731,398249,62.0,63.0,Creative Artists Agency,Unknown
253,2019,53,24.7,Sebastian Maniscalco,82.71,3886,299185,321358,46.0,77.0,United Talent Agency,Unknown
254,2019,54,24.7,Luis Miguel,104.66,7158,236223,749218,22.0,33.0,WME,World/International
255,2019,55,23.8,Twenty One Pilots,66.47,11934,358025,793227,29.0,30.0,Creative Artists Agency,Alternative
256,2019,56,22.4,Jerry Seinfeld,109.52,2840,204501,311060,40.0,72.0,ICM Partners,Unknown
257,2019,57,22.3,Maluma,92.14,7548,241549,695544,30.0,32.0,C2C / WK Entertainment,Rock
